filename,psnr_a1,ssim_a1,lpips_a1,psnr_a2,ssim_a2,lpips_a2,psnr_a1_norm,psnr_a2_norm,ssim_a1_norm,ssim_a2_norm,lpips_a1_norm,lpips_a2_norm
015233.png,29.215564,0.841920,0.038296,29.264328,0.842557,0.038133,0.586628,0.591334,0.732005,0.734275,0.879615,0.880774
015301.png,23.438468,0.647672,0.132845,24.521254,0.677984,0.085199,0.029150,0.133637,0.040670,0.148551,0.206536,0.545722
015936.png,28.670546,0.811613,0.058871,29.570370,0.832690,0.040785,0.534035,0.620866,0.624142,0.699155,0.733145,0.861894
016335.png,28.440530,0.769453,0.059177,29.076552,0.781544,0.049092,0.511839,0.573214,0.474095,0.517127,0.730965,0.802758
016538.png,28.326616,0.776590,0.054509,28.497782,0.779979,0.052557,0.500846,0.517364,0.499494,0.511555,0.764201,0.778091
016602.png,26.107308,0.813815,0.071981,27.037636,0.825771,0.058357,0.286688,0.376463,0.631980,0.674531,0.639818,0.736802
016648.png,23.702153,0.667659,0.161857,24.407362,0.701956,0.111436,0.054595,0.122647,0.111802,0.233868,0.000000,0.358941
016673.png,23.917198,0.683279,0.107021,24.505002,0.703803,0.069112,0.075347,0.132069,0.167395,0.240444,0.390370,0.660239
016692.png,29.426379,0.888782,0.027013,29.838676,0.893686,0.023554,0.606971,0.646757,0.898789,0.916243,0.959936,0.984560
016779.png,32.932263,0.877868,0.026979,32.932411,0.877910,0.026982,0.945282,0.945296,0.859945,0.860097,0.960182,0.960159
016839.png,25.065796,0.749238,0.120446,25.828123,0.773042,0.096440,0.186184,0.259747,0.402145,0.486868,0.294800,0.465693
016853.png,27.256312,0.822059,0.049561,27.799693,0.830457,0.038280,0.397564,0.449999,0.661319,0.691208,0.799425,0.879728
016863.png,24.040581,0.750621,0.077211,24.831066,0.764650,0.064709,0.087253,0.163533,0.407071,0.456998,0.602588,0.691588
017309.png,28.272603,0.800536,0.044019,28.583176,0.808298,0.041701,0.495634,0.525604,0.584719,0.612345,0.838872,0.855374
017367.png,27.186422,0.810376,0.062535,27.004050,0.806786,0.058813,0.390820,0.373222,0.619741,0.606964,0.707058,0.733558
017490.png,27.683220,0.833775,0.099077,27.327834,0.845576,0.081508,0.438760,0.404466,0.703019,0.745017,0.446926,0.571997
017927.png,30.796152,0.897565,0.024231,30.913059,0.898627,0.023231,0.739151,0.750433,0.930050,0.933830,0.979743,0.986865
018028.png,23.136384,0.636245,0.132995,24.916590,0.679303,0.104415,0.000000,0.171786,0.000000,0.153247,0.205466,0.408926
018161.png,29.374436,0.853064,0.050134,29.368336,0.860301,0.041056,0.601959,0.601370,0.771668,0.797425,0.795340,0.859971
018502.png,26.995686,0.801622,0.038285,27.304953,0.807033,0.033967,0.372414,0.402258,0.588584,0.607841,0.879692,0.910432
018855.png,24.855845,0.740485,0.104348,25.927141,0.760001,0.063899,0.165924,0.269302,0.370997,0.440455,0.409402,0.697354
018921.png,25.812271,0.769003,0.121276,27.481538,0.812357,0.057482,0.258217,0.419298,0.472492,0.626789,0.288889,0.743037
